year,Status
1940,No Vintage
1941,No Vintage
1942,No Vintage
1943,Vintage
1944,No Vintage
1945,No Vintage
1946,No Vintage
1947,Vintage
1948,No Vintage
1949,Vintage
1950,No Vintage
1951,No Vintage
1952,Vintage
1953,Vintage
1954,No Vintage
1955,Vintage
1956,No Vintage
1957,No Vintage
1958,No Vintage
1959,Vintage
1960,No Vintage
1961,Vintage
1962,Vintage
1963,No Vintage
1964,Vintage
1965,No Vintage
1966,Vintage
1967,No Vintage
1968,No Vintage
1969,Vintage
1970,Vintage
1971,Vintage
1972,No Vintage
1973,Vintage
1974,No Vintage
1975,Vintage
1976,Vintage
1977,No Vintage
1978,Vintage
1979,No Vintage
1980,Vintage
1981,No Vintage
1982,Vintage
1983,Vintage
1984,No Vintage
1985,Vintage
1986,No Vintage
1987,No Vintage
1988,Vintage
1989,No Vintage
1990,Vintage
1991,No Vintage
1992,Vintage
1993,Vintage
1994,No Vintage
1995,Vintage
1996,Vintage
1997,No Vintage
1998,Vintage
1999,Vintage
2000,Vintage
2001,No Vintage
2002,Vintage
2003,Vintage
2004,Vintage
2005,Vintage
2006,Vintage
2007,No Vintage
2008,Vintage
2009,Vintage
2010,Vintage
2011,No Vintage
2012,Vintage
2013,Vintage
2014,No Vintage
2015,No Vintage
2016,No Vintage
2017,No Vintage
2018,No Vintage
2019,No Vintage
2020,No Vintage
2021,No Vintage
2022,No Vintage
2023,No Vintage
